Label,x,y,z,yaw,pitch,roll
DJI_0050.JPG,338410.8211,272933.3195,204.565076,359.487126,-0.421281,-0.057853
DJI_0372.JPG,338708.5212,272946.8762,203.145012,8.676795,-0.631775,0.422251
DJI_0376.JPG,338723.9561,272976.5308,203.414002,9.280967,-0.585074,1.190588
DJI_0376.JPG,338393.1828,272995.7677,220.428021,139.009223,55.581227,1.051954
DJI_0378.JPG,338734.128,272998.5383,203.400554,10.037684,-0.80436,1.36077
DJI_0378_2.JPG,338392.9108,272995.5833,203.760776,164.51034,55.448466,1.848861
DJI_0411.JPG,338685.5291,272985.1956,203.037935,12.977994,-1.445337,0.214361
DJI_0411.JPG,338521.574,273005.6696,234.65181,266.237714,40.448957,1.907885
DJI_0416.JPG,338669.0174,272949.2451,202.799238,12.837553,-1.231373,0.212117
DJI_0416.JPG,338521.6554,273005.667,234.942943,244.986052,40.328308,0.771144
DJI_0550.JPG,338619.5389,273028.4029,204.515753,1.995692,-0.47731,-0.713492
DJI_0550.JPG,338493.1178,273011.8444,235.090072,234.850916,56.647299,3.343036
DJI_0605.JPG,338601.0108,273043.0753,204.153646,10.636246,-0.449755,-0.438778
DJI_0605.JPG,338629.7911,272936.1008,235.553101,294.554179,55.670267,1.900023
DJI_0799.JPG,338443.1804,272911.6929,204.636336,18.73193,-0.957002,0.276757
DJI_0800.JPG,338449.6316,272926.0766,204.528167,18.158113,-0.906444,0.22704
DJI_0858.JPG,338436.4256,272928.4437,204.514108,20.014069,-0.675133,-0.085166
DJI_0858.JPG,338521.4118,272932.7858,276.556792,356.003227,-0.708953,-0.213822
DJI_0859.JPG,338430.044,272914.0813,204.144243,20.208083,-0.773582,0.026982
DJI_0865.JPG,338418.7959,272919.4692,204.005967,18.142786,-1.158864,0.153611
DJI_0865.JPG,338523.2466,272900.1998,277.8236,326.207198,50.332304,1.63569
DJI_0866.JPG,338421.8576,272926.5282,204.052661,18.602851,-1.105686,0.141174
DJI_0927.JPG,338445.4031,272914.7215,203.84382,350.728868,-1.11347,0.399162
DJI_0928.JPG,338446.2933,272922.44,204.003069,351.210146,-1.293861,0.468407
DJI_0929.JPG,338447.3182,272930.1282,204.12455,351.273228,-1.467227,0.479489
DJI_0990.JPG,338434.5718,272927.8311,203.857691,356.595752,-1.042933,-0.266418
DJI_0991.JPG,338433.5905,272920.3559,203.72107,356.461791,-1.074617,-0.253958
DJI_0992.JPG,338432.4872,272912.8964,203.717464,356.415673,-1.156295,-0.263406
DJI_0996.JPG,338420.7852,272914.0947,204.404016,357.05717,-1.234509,0.094005
DJI_0997.JPG,338421.9423,272921.3373,204.555786,356.545651,-1.072735,0.163183
DJI_0998.JPG,338422.9748,272928.7982,204.725595,356.080656,-1.052604,0.212887
